number	crop	year	emergencedoy	reldem
0	winter wheat	1991	289	11
1	winter wheat	1992	299	15
2	winter wheat	1993	302	16
3	winter wheat	1994	301	16
4	winter wheat	1995	297	11
5	winter wheat	1996	299	14
6	winter wheat	1997	297	13
7	winter wheat	1998	295	13
8	winter wheat	1999	295	18
9	winter wheat	2000	300	24
10	winter wheat	2001	295	11
11	winter wheat	2002	293	12
12	winter wheat	2003	285	12
13	winter wheat	2004	367	0
