Date	Rain	AirTemperatureMax	AirTemperatureMin	GlobalSolarRadiation	WindSpeed	ReferenceEvapotranspiration
30-03-1982	1.1	12	5.5	10.038	2.6	1.7
31-03-1982	2.1	11.7	7.3	8.0838	4.2	1.9
01-04-1982	0	13.7	4.9	12.3888	2.5	2
02-04-1982	0	15.5	3	15.2019	2.9	2.1
03-04-1982	0.5	17.7	5.4	15.2213	4.2	2.7
04-04-1982	0	15.2	7.4	11.9321	4.6	3
05-04-1982	0	17.6	2	17.7082	3.4	2.8
06-04-1982	0	21.4	5.3	17.3386	3.9	3.3
07-04-1982	0.4	16.5	8.5	12.4612	4	2.8
08-04-1982	0.4	18.8	7	15.649	3.7	2.9
09-04-1982	1.1	10.5	2.6	12.6604	7.4	3.5
10-04-1982	0	11.1	2.4	13.3867	3.9	2.7
11-04-1982	0	12.2	1.5	15.0831	4.3	2.7
12-04-1982	0.1	10.7	2.4	12.2494	4.4	2.5
13-04-1982	0.7	8.5	1.5	12.2619	2.4	1.9
14-04-1982	0.1	10.4	2.8	12.7771	5.8	3.1
15-04-1982	0	11.2	2.4	14.1823	3.6	2.8
16-04-1982	0	14.7	1.8	17.6092	2.1	2.7
17-04-1982	0	15.6	1.9	18.3914	4	3.1
18-04-1982	0.2	11.7	2.5	14.9888	4.4	2.6
19-04-1982	0.4	11.8	1.8	15.12	3.9	2.6
20-04-1982	0	11.2	-0.6	17.3686	3.9	2.7
21-04-1982	0	13.2	-0.8	17.9571	3.9	3.1
22-04-1982	0.1	9.9	1.2	14.9461	4.7	2.7
23-04-1982	0.4	11.1	1.5	15.9677	3.8	2.8
24-04-1982	0	14.9	-1.8	20.1498	1.9	2.8
25-04-1982	0	15	3.5	17.9063	5.5	3.7
26-04-1982	0	15.7	6	16.7764	5.8	3.6
27-04-1982	2.6	9.2	4	13.5551	8.6	3.4
28-04-1982	0	14.5	4.9	16.5658	8	4.9
29-04-1982	0	15.2	5.5	16.6484	4	3.2
30-04-1982	0	12	2.9	16.1187	7	3.7
01-05-1982	2.1	10.3	0.1	15.6164	3	2.3
02-05-1982	2.6	14	3.9	17.2632	4.1	3.3
03-05-1982	0	20.3	3.5	23.0513	4.1	4.2
04-05-1982	0	23.2	5.6	23.7847	5.5	5
05-05-1982	0	21.8	10.8	18.6187	7.8	5.8
06-05-1982	0	22.2	9.8	19.9512	3.1	4
07-05-1982	0.1	15.6	10.1	14.6291	4.4	3.7
08-05-1982	3.1	13	6.6	12.4244	1.8	2.3
09-05-1982	1.9	16.6	8.8	15.8733	3.6	2.9
10-05-1982	2.2	16.4	11.6	12.6405	1.5	2.5
11-05-1982	8.9	17.3	8.9	16.0377	4.6	3.4
12-05-1982	0	17.7	5.7	20.2808	2.4	3.3
13-05-1982	0	18.9	6.5	20.75	3	3.8
14-05-1982	0	21	7.6	21.7492	3.9	4.3
15-05-1982	0	20.8	7.1	22.0722	2.5	4
16-05-1982	0	23.6	6.7	24.7819	1.9	4.1
17-05-1982	0	25.4	9.7	24.0095	2.6	4.6
18-05-1982	0	25.2	11.1	22.6631	2.1	4.5
19-05-1982	0.3	24.9	11.7	22.2211	2.9	4.5
20-05-1982	0.2	24.7	13.1	20.5022	2	4.1
21-05-1982	7.1	22	12.5	19.0893	2.3	3.8
22-05-1982	7	25.1	12.1	22.0364	2.9	4.6
23-05-1982	4.2	19.6	14.3	13.8638	2.4	3.1
24-05-1982	9.8	16.9	11.3	15.0457	3.7	3.3
25-05-1982	0	19.9	9.5	19.7877	5.8	4.5
26-05-1982	0	22.9	10	22.3031	2	4.1
27-05-1982	0	26.2	11.5	23.8678	3	4.8
28-05-1982	0	27.8	13.5	23.7607	3	5.1
29-05-1982	2.9	18.3	12.4	15.3982	5.8	3.6
30-05-1982	0.1	21.3	12.1	19.0238	3.7	4.2
31-05-1982	0	24.1	10.3	23.5133	1.9	4.4
01-06-1982	0	26.4	9.8	26.034	2.4	4.9
02-06-1982	0	28.2	12	25.6881	2.1	5.1
03-06-1982	0	29.5	13.8	25.2745	2	5.3
04-06-1982	0	30	14	25.5908	2	5.4
05-06-1982	0	28.1	15.4	22.771	2.2	5
06-06-1982	0	28.8	13.7	25.0882	2	5.3
07-06-1982	0	27.2	16.1	21.2705	3.7	5.3
08-06-1982	0	24.2	13.6	20.7527	2.5	4.5
09-06-1982	0	27.6	12.7	24.8132	1.7	4.9
10-06-1982	1.3	24.9	16	19.0989	2.7	4.5
11-06-1982	0	25.3	12.5	22.8571	2.9	4.8
12-06-1982	5.8	24.1	17.1	16.6847	4	4.5
13-06-1982	4.5	18.2	13	14.0433	3	3.3
14-06-1982	0.2	18.5	11	17.3645	5.9	4.6
15-06-1982	0	19.1	8	21.4281	4.1	4.5
16-06-1982	1.2	20.3	10.5	19.3821	2.2	3.9
17-06-1982	0.8	18.3	11.5	16.2623	4	3.9
18-06-1982	0	21.8	9	23.0947	2.1	4
19-06-1982	1.6	21.7	14.5	17.3366	3	4.1
20-06-1982	0	23.3	11.2	22.5031	2.8	4.6
21-06-1982	1.2	25.9	10.5	25.5581	1.7	4.7
22-06-1982	4.1	26	15.6	21.1958	2.6	4.8
23-06-1982	1.7	26.9	16.7	20.4249	3.2	4.8
24-06-1982	6.2	26	14.8	21.2627	2.7	4.9
25-06-1982	0	27.1	14.3	23.2199	2.6	4.9
26-06-1982	0.2	27.5	17.6	19.9385	3.4	4.9
27-06-1982	7.8	20.7	14.5	18.836	4.4	4.3
28-06-1982	0.3	22.9	13.7	19.3451	3.8	4.7
29-06-1982	4.9	22.3	12.2	20.1785	2.7	4.1
30-06-1982	2.8	21.6	13.4	18.1691	3.8	4.5
01-07-1982	0.4	22.3	11	21.5854	3	4.5
02-07-1982	0	25.2	11.8	23.5525	1.6	4.5
03-07-1982	0	28.8	14	24.6576	2.6	5.2
04-07-1982	9.1	26.1	17.2	18.806	3.5	4.9
05-07-1982	0	25.5	11.6	23.4346	2.7	4.9
06-07-1982	0	25	13.9	21.1822	1.8	4.3
07-07-1982	1.3	22.7	15.2	17.4296	4.9	4.7
08-07-1982	0	23.7	11.5	22.2322	4	4.9
09-07-1982	0	25.5	11.7	23.5523	2.3	4.8
10-07-1982	0	26.4	12.5	23.6752	3.9	5.4
11-07-1982	0.1	25.6	16	19.4211	5.4	5.3
12-07-1982	18	24.3	16.3	17.4361	3.6	4.2
13-07-1982	0	25.6	15.7	19.7677	2.8	4.4
14-07-1982	0	27.3	13.8	22.8156	1.9	4.7
15-07-1982	0	28.7	15.5	22.7695	1.5	4.6
16-07-1982	0.2	29.7	17.5	21.7341	1.5	4.8
17-07-1982	0.5	28.7	16.8	21.2932	1.9	4.7
18-07-1982	0	25.4	17.7	17.6443	4.1	4.4
19-07-1982	0.2	27.8	17.4	19.7202	3.4	4.7
20-07-1982	0	30.5	17.8	21.8839	2.4	5.1
21-07-1982	0	31.4	18	22.3752	2.4	5.3
22-07-1982	17.4	29.5	16	22.4235	2.2	5
23-07-1982	0.6	26.2	17.9	17.2191	2.9	4.2
24-07-1982	6.9	24.6	17.8	15.5974	1.3	3.5
25-07-1982	8	23.6	16.6	15.6055	3.1	3.7
26-07-1982	4.1	23.1	16.3	15.5918	5.1	4.1
27-07-1982	1.1	19.3	15.2	11.3695	5.6	3.2
28-07-1982	0.6	24.3	14.4	18.21	3	4
29-07-1982	0	26.2	14.9	19.7527	2.6	4.4
30-07-1982	0	26.3	13.2	21.0444	1.7	4.2
31-07-1982	3.1	26.2	14.5	20.0885	3.2	4.3
01-08-1982	10.8	26.9	14.5	20.4201	3.4	4.6
02-08-1982	0	26	14.6	19.549	1.9	4.1
03-08-1982	0	26	15.9	18.3467	4	4.5
04-08-1982	3.1	25.5	17.2	17.0342	1.9	3.8
05-08-1982	68.1	24.2	16.4	15.5564	2.1	3.5
06-08-1982	0	25.8	15	18.4698	1.6	3.6
07-08-1982	0.3	25.5	16.7	16.6836	2.1	3.8
08-08-1982	5.9	25.3	15.8	16.9912	1.9	3.7
09-08-1982	3.8	26.2	15.8	17.9067	1.9	3.8
10-08-1982	0	25.4	15.7	17.2557	2.6	3.9
11-08-1982	0	26.2	17.1	16.3389	2.4	3.9
12-08-1982	0	27.4	14.5	19.5987	2.7	4.1
13-08-1982	0	29.7	16.8	19.7579	2.4	4.4
14-08-1982	0.9	28.6	17.7	17.6593	2.8	4.4
15-08-1982	0.1	27.8	16	18.3969	2.7	4
16-08-1982	0.3	28.4	18.6	16.4537	2.7	4.2
17-08-1982	21.4	25.5	16.7	15.3268	2.1	3.4
18-08-1982	0.2	25.4	14.1	17.484	2.6	3.7
19-08-1982	0	27.5	14.1	18.8383	2.5	4
20-08-1982	0.6	26.7	15.4	17.2495	3.9	4
21-08-1982	6.7	18.7	12.1	13.277	4	3.1
22-08-1982	0.1	21.7	13.5	14.2544	4.4	3.9
23-08-1982	0	23.5	10.3	18.2664	1.8	3.3
24-08-1982	0.1	23.6	10.7	17.8653	2.1	3.2
25-08-1982	0	22.9	13.3	15.1593	3.4	3.6
26-08-1982	0	26	11.2	18.9423	3	3.6
27-08-1982	0	26.2	14.2	16.7915	2.8	3.5
28-08-1982	4.8	22	15.1	12.0527	2.5	2.6
29-08-1982	2.8	20.1	14.3	10.7107	4.7	2.8
30-08-1982	2.3	20.7	13.7	12.5995	1.8	2.5
31-08-1982	0	22.4	9.9	16.6293	2	2.7
01-09-1982	0	21.7	13.3	13.2328	2.1	2.7
02-09-1982	0	23.3	11.9	15.3713	2.3	2.9
03-09-1982	0	23	12.9	14.2965	2.4	3
04-09-1982	0	24.9	9.5	17.8486	2.7	3.1
05-09-1982	0	26.5	12.7	16.6868	2	3
06-09-1982	0	30.9	16.1	17.1209	4.1	4.4
07-09-1982	0	27.2	15.9	14.6245	3.2	3.5
08-09-1982	17.1	25.5	16.1	13.0654	4.3	3.3
09-09-1982	4.3	22.3	16.4	9.7178	3.5	2.7
10-09-1982	0	23.2	13.7	12.8965	2.7	2.7
11-09-1982	0	25.2	12.3	15.0578	1.3	2.5
12-09-1982	0	25.8	13.4	14.6133	2.5	3
13-09-1982	0	25.3	12	14.9792	1.8	2.7
14-09-1982	0	26	12.6	14.8376	1.3	2.6
15-09-1982	0	26.1	11.7	15.3111	2.2	2.7
16-09-1982	0	26.1	11.2	15.4285	1.7	2.6
17-09-1982	0	25.9	10.6	15.4529	1.6	2.5
18-09-1982	0	25.8	11.5	14.7456	2.3	2.7
19-09-1982	0	25.6	10.6	15.0071	1.8	2.5
20-09-1982	0	24.8	10.6	14.3613	2.1	2.3
21-09-1982	0	24	12.9	12.3602	1.7	2.1
22-09-1982	0.5	26.6	14.3	12.9604	1.5	2.5
23-09-1982	0	20.6	13.9	9.0074	2.4	1.9
24-09-1982	8.8	18.3	11.2	9.2105	3.1	2
25-09-1982	0.2	17.4	11.7	8.1867	2.7	1.6
26-09-1982	0	24.8	14.6	11.0256	5.6	2.9
27-09-1982	0	21.4	14.7	8.3066	3.1	2.2
28-09-1982	0	19.9	12.6	8.6743	1.9	1.7
29-09-1982	0	22.1	10.6	11.3428	1.6	1.9
30-09-1982	0	21.3	7.9	12.1957	2.2	1.7
01-10-1982	14.1	16.3	13.2	4.9299	2.2	1.1
02-10-1982	14.2	19.3	14	7.0136	2.4	1.6
03-10-1982	0	17.5	8.4	9.0339	2.6	1.7
04-10-1982	0.5	12.3	7.2	6.4591	2.2	1.1
05-10-1982	2.6	12.2	9.7	4.2149	3.2	1.2
06-10-1982	8.4	15.3	10.4	6.2306	5.9	1.7
07-10-1982	6.6	18.4	9.9	8.5537	6.1	2.4
08-10-1982	1.7	12.8	8.6	5.4635	2.3	1.1
09-10-1982	3.5	10.1	4.8	6.153	1.8	0.6
10-10-1982	0.7	16	7.5	8.2022	1.5	1.2
11-10-1982	0	16.8	5	9.7054	1.2	1
12-10-1982	2.1	12.5	7.9	5.563	1.8	0.9
13-10-1982	0	14.9	5.7	8.115	4.9	1.3
14-10-1982	11.1	13.1	9.1	4.7636	2.4	1.2
15-10-1982	0.8	15	8.6	6.3475	2.8	1.4
16-10-1982	0	14.5	5.1	7.7097	3.6	1.6
17-10-1982	0	13.8	1.8	8.8541	1.7	0.8
18-10-1982	0	14.7	4.1	8.0087	1.4	0.8
19-10-1982	0	13.2	5.2	6.5029	1.4	0.8
20-10-1982	0.4	17.3	8.5	6.6942	1.8	1.1
21-10-1982	0	13.1	6.8	5.5978	3.1	0.7
22-10-1982	0	17.6	9.3	6.5595	5.4	1.6
23-10-1982	0	16	10	5.4075	4.2	1.1
24-10-1982	0.2	20.2	10	7.1799	2.5	1.2
25-10-1982	1.2	14	8.1	4.8553	3.3	1.1
26-10-1982	0	14.7	9	4.8239	3	1.2
27-10-1982	0	14.8	4	7.0746	1.2	0.6
28-10-1982	0	11.3	4.2	5.3075	1.4	0.4
29-10-1982	0	12.5	7.9	3.9593	2.2	0.7
30-10-1982	0	13.1	6.2	5.0571	3.5	1.1
31-10-1982	0	8.9	3.6	4.0942	2.9	0.6
01-11-1982	0	7.8	4.3	2.9394	1.3	0.6
02-11-1982	0	5.8	3.7	1.9965	1.9	0.5
03-11-1982	0	5.3	4.1	2.3432	1.2	0.8
04-11-1982	0.1	5.9	3.4	2.4761	0.9	0.5
05-11-1982	0.7	9.6	4	4.0303	3	1
06-11-1982	0	5	-3	5.0091	2.2	0.7
07-11-1982	0	3.9	-5.4	5.3066	4.6	0.6
08-11-1982	0	6.5	-2.8	5.173	7.7	1
09-11-1982	0	15.3	4.5	5.5726	5.3	1.1
10-11-1982	0.7	11.9	5.6	3.7023	1.7	0.7
11-11-1982	0	12.3	7.2	3.2393	1.2	0.7
12-11-1982	0	11	2.5	4.4591	3.4	0.8
13-11-1982	0	11.9	3.3	4.5798	3.8	0.5
14-11-1982	14	7.6	5.8	2.0117	4.4	0.8
15-11-1982	0	9.4	1.2	4.2303	1.6	0.4
16-11-1982	0	4.4	0.5	2.3637	1.3	0.4
17-11-1982	0	5.2	-0.2	2.9731	3.9	0.6
18-11-1982	0	9.5	-1.4	4.808	2.4	0.5
19-11-1982	0	12.1	4.4	3.7488	2.1	0.8
20-11-1982	0.1	11	4.8	3.0759	2.6	1
21-11-1982	0	10	0.1	4.2989	2.4	0.5
22-11-1982	0	5.2	0.2	2.7539	2.6	0.4
23-11-1982	0	3.8	1.3	1.2629	1.5	0.4
24-11-1982	0	8.5	1.1	2.9119	2.7	0.5
25-11-1982	0	11.1	0.8	4.1345	2.4	0.2
26-11-1982	0	12.9	4.7	3.3494	2.8	0.6
27-11-1982	0	9.3	4	2.4419	4.1	0.9
28-11-1982	0	6.5	2.1	2.1231	3	0.5
29-11-1982	0.1	8.6	3.8	2.3574	2.5	0.5
30-11-1982	2	6.1	1.8	1.6574	4.4	0.7
01-12-1982	0.4	4.7	2.3	1.117	3	0.7
02-12-1982	0.6	7	3.3	1.7422	1.6	0.6
03-12-1982	0	3.8	-1.4	2.2533	0.9	0.2
04-12-1982	0	2.1	-0.5	1.1736	2.6	0.4
05-12-1982	0	0.7	-0.7	0.4942	2.3	0.5
06-12-1982	0	-0.4	-1.4	0.7632	3.3	0.5
07-12-1982	0	2.2	-1.3	1.4038	2.1	0.4
08-12-1982	0	5.5	0.5	1.8985	2.3	0.4
09-12-1982	0	10.5	3	2.6745	3.2	0.4
10-12-1982	2.3	12	5	2.609	4.6	0.7
11-12-1982	9.2	5.9	1.8	1.4418	4	0.8
12-12-1982	0	4.9	0.4	1.797	4.4	1
13-12-1982	0.1	3.4	-0.3	1.4558	2.1	0.4
14-12-1982	0	3.8	1.1	1.0684	2.2	0.6
15-12-1982	0	3.5	-1.1	1.8141	3.8	0.6
16-12-1982	2.3	11.4	0.9	3.3009	3.9	0.5
17-12-1982	0	8.6	5	1.3931	3.1	0.8
18-12-1982	11.1	10.3	5.1	2.0651	6.4	1.3
19-12-1982	4.9	2.3	0.5	0.6277	9.5	1.2
20-12-1982	0	2.6	-3.3	2.1823	3	0.4
21-12-1982	5.5	4.9	0.4	1.502	2.7	0.5
22-12-1982	2.8	1.5	-0.6	0.838	1.4	0.4
23-12-1982	5.3	2.9	0.4	1.211	4.9	0.7
24-12-1982	4	2.2	1	0.3423	8.7	1
25-12-1982	0.3	3.4	1.3	0.6866	8.8	1.9
26-12-1982	0	4.9	1.7	1.2769	7.2	1.4
27-12-1982	0	5.7	-1.6	2.5944	2.8	0.4
28-12-1982	2	7.1	0.9	2.0059	5	1
29-12-1982	0	4	1	1.0877	7.2	1.6
30-12-1982	0	2.8	-1.1	1.6973	7.8	1.1
31-12-1982	0	2.1	-4.4	2.4608	1.6	0.4
01-01-1983	0	3.3	-4.4	2.8198	1.2	0.3
02-01-1983	0	5.9	-2	2.8814	3.4	0.5
03-01-1983	0.6	4.2	-0.6	1.9644	2.1	0.4
04-01-1983	5	7.9	1.7	2.3901	3.5	0.5
05-01-1983	1.1	7.7	1.5	2.1118	2.7	0.7
06-01-1983	7.7	11.5	2.5	2.9038	2.3	0.5
07-01-1983	0	5.8	1.1	1.8145	2.3	0.5
08-01-1983	0	5.8	0.4	2.2919	2	0.6
09-01-1983	0	6.6	-0.3	2.7996	3	0.7
10-01-1983	0	7.5	0.5	2.8992	3.6	0.8
11-01-1983	0	10.8	1.3	3.5676	2.6	0.7
12-01-1983	0	6.9	-0.6	3.1451	1.4	0.4
13-01-1983	0	0.5	-3	1.6416	1.5	0.4
14-01-1983	0	3.6	-2.8	2.9102	3	0.5
15-01-1983	0.1	5.1	-0.5	2.7252	5.1	0.8
16-01-1983	2.1	6.1	2	2.0928	5.6	1
17-01-1983	2.5	9.9	2.9	3.2253	6.2	1
18-01-1983	0	14.3	3.9	4.2906	5.8	1.9
19-01-1983	0	5.1	-0.1	2.3928	6.5	1.3
20-01-1983	0	1.8	-2.2	2.1462	7.2	1.3
21-01-1983	0	3.6	-3	3.3146	5.8	1
22-01-1983	0	7.6	1.3	3.1709	7.5	1.5
23-01-1983	0	5.3	0.4	2.3169	5.3	1.3
24-01-1983	0	4.9	-1.3	2.9836	3.5	0.8
25-01-1983	0	3.5	-4.3	3.98	1.4	0.3
26-01-1983	4.8	9.2	-1.1	4.9208	2.3	0.3
27-01-1983	0.2	13.5	3.9	4.7976	3.3	0.9
28-01-1983	0	12.2	6.8	2.4876	4.5	1.7
29-01-1983	0.8	12.4	6.2	3.7366	4.5	1.5
30-01-1983	0.7	8.6	-0.7	4.2474	2.7	0.7
31-01-1983	0.9	6.4	2.3	2.7827	7.2	2.1
01-02-1983	1.4	8.7	-1.5	5.4077	4.1	1.1
02-02-1983	0	6.3	1.8	3.09	6.5	1.7
03-02-1983	0	6	-1	4.3909	4	1.2
04-02-1983	0.2	3.3	-1.7	3.5038	6.3	1.4
05-02-1983	0	3	-3.9	4.74	6	1.3
06-02-1983	5.7	2.9	-1	4.3284	5.2	0.8
07-02-1983	2.5	1.6	-2.2	3.6305	1.8	0.6
08-02-1983	1.3	2.6	-2.9	4.3292	1.5	0.5
09-02-1983	2.7	2.9	-4.5	5.158	1.8	0.5
10-02-1983	2.9	2.8	-1.6	3.5738	1.7	0.7
11-02-1983	4.4	1.4	-1.9	4.3628	5	0.8
12-02-1983	2.5	2.9	-2.3	4.7082	3.1	0.8
13-02-1983	0	1.3	-3.3	4.0178	1.5	0.6
14-02-1983	0.9	0.3	-4.1	4.4623	1.7	0.6
15-02-1983	0.8	-1.8	-6.2	4.086	6.3	1
16-02-1983	0	-1.9	-11.8	5.6814	5.6	0.8
17-02-1983	0	-1	-7.1	5.2399	8.3	1.2
18-02-1983	0	1.7	-4.5	5.6304	6.2	1
19-02-1983	0	0.2	-4.6	5.099	4.1	0.9
20-02-1983	0	2.1	-4.5	5.7235	2.7	0.7
21-02-1983	0	2.1	-4	5.9374	5.7	1.1
22-02-1983	0	-2.4	-6.6	5.3541	5.9	1
23-02-1983	0	0.4	-11.6	8.7848	2.4	0.6
24-02-1983	0	2.1	-10.8	9.3465	1.9	0.5
25-02-1983	0	3.3	-9.3	9.3047	4.2	0.9
26-02-1983	0	3.9	-7	8.7392	3.9	0.7
27-02-1983	0.8	4.2	-1.2	6.1776	1.2	0.7
28-02-1983	2.9	9	1.7	7.514	1.8	1
01-03-1983	0	7	-0.6	7.654	1.8	0.9
02-03-1983	0	4.6	-1.1	6.2638	3.9	0.8
03-03-1983	0	5.9	1.2	6.0374	5.3	1.4
04-03-1983	0	4.6	0.3	5.4389	4.4	1.4
05-03-1983	0	10	-3.2	10.8961	2.7	1.2
06-03-1983	0	10.4	2	8.9471	4.7	1.7
07-03-1983	0	12.7	4.6	8.2776	6.4	2.4
08-03-1983	0	13.5	5.6	8.1846	4.2	2
09-03-1983	0	19.3	2.4	13.277	3.2	2
10-03-1983	0	18	6.1	11.0121	3.5	2.3
11-03-1983	0.2	16.1	3.3	11.4459	5.9	2.6
12-03-1983	1.3	5.9	0.8	6.912	3.7	1.7
13-03-1983	0	6.7	-5	11.4912	4.9	1.8
14-03-1983	0	9.7	-2.4	11.8087	5.7	2.3
15-03-1983	0	12.9	0.7	11.8755	6.6	2.5
16-03-1983	0	13.6	4.4	10.4033	3.4	2.3
17-03-1983	0	15	0.1	13.8417	2.4	1.8
18-03-1983	0.1	15.3	3.8	12.5109	3.2	1.9
19-03-1983	0	15.3	6.7	11.1961	2.6	1.9
20-03-1983	0.3	14.3	8.1	9.7803	3.4	2
21-03-1983	0	17	2.5	14.3298	1.8	1.8
22-03-1983	1.6	11.7	5	9.3975	4.6	2.2
23-03-1983	0.6	11.9	2.8	11.2893	5.2	2.5
24-03-1983	0	17.1	2	15.244	7	3
25-03-1983	6.3	13.3	6.1	10.1953	5.3	2.2
26-03-1983	0.3	7.1	2.4	7.8047	5.4	1.8
27-03-1983	0	8	2	9.2634	5.6	2.3
28-03-1983	0	12.6	-3	16.2192	2.6	1.8
29-03-1983	3.8	9	2.6	9.6816	2.1	1.3
30-03-1983	0.5	11.4	2.8	11.9098	3	1.8
31-03-1983	0	13.2	0.6	14.9083	2	1.6
01-04-1983	3.7	11.1	5.6	9.4866	2.5	1.3
02-04-1983	0.3	14.3	4.6	13.153	4.8	2.3
